Gráfico,Código,Sobreposição de texto
Perspective scale break,Confunsao visual no gráfico,enquanto na outra a gente perde aqui no meio e fica confuso um pouco.
Default sacle break,Confunsao visual no gráfico,"O quebra de escala padrão à primeira vista pareciam dois gráficos diferentes, difícil de compreender que eram o mesmo gráfico."
Default sacle break,Confunsao visual no gráfico,"Quebra de escala padrão, dá a sensação de que são dois gráficos, um embaixo e um em cima, você demora a perceber onde está o outro, demora na compreensão."
Default sacle break,Confunsao visual no gráfico,"Enquanto o quebra de escala normal se olhasse para baixo, eu perdia às vezes a continuação da barra."
Default sacle break,Confunsao visual no gráfico,"O de quebra padrão só me dá um corte e continua a contagem, se a pessoa olhar de primeira, ela nem observa o que tá de um lado e do outro, dando sensação que são dois gráficos separados."
Default sacle break,Confunsao visual no gráfico,"apesar da quebra de escala padrão mostrar que tem uma quebra, somente introduz um espaço em branco ele começa outra escala ali acaba uma escala, começa outra."
Default sacle break,Confunsao visual no gráfico,enquanto na outra a gente perde aqui no meio e fica confuso um pouco.
logarithmic,Confusão nas escalas,"O escala logarítmica eu acho que também não é ideal assim, eu não gosto de usar. Eu não usaria porque pode passar uma falsa impressão, complicado as escalas como ele vai aumentando e o espaçamento entre elas permanece o mesmo eu acho que pode passar uma falsa impressão."
logarithmic,Confusão nas escalas,logaritmo é muito confuso
logarithmic,Confusão nas escalas,"escala logarítmica eu também gostei, mas quando perguntava ali aqueles valores específicos, ficava um pouco na dúvida em tentar reconhecer essas escalas aqui."
Default,Confusão nas escalas,Os outros ficaram confuso a escala
Default,Consistência de escalas,O padrão tem bem certinho a sua escala.
Default,Consistência de escalas,as escalas pareciam mais consistentes no padrão.
Perspective scale break,Continuidade do contexto,No quebra de escala com perspectiva você percebe que existe uma ligação entre os pedaços.
Perspective scale break,Continuidade do contexto,"Com perspectiva justamente por conta do que eu falei que quando eu tava olhando, por exemplo, mediana, olhar para baixo não fazia eu perder a perspectiva do gráfico continuado, do valor continuando."
Perspective scale break,Continuidade do contexto,O quebra de escala de com Perspectiva você fica atento com a continuidade dos dados
Perspective scale break,Continuidade do contexto,"Quebra de escala com Perspectiva, o visual dele aponta que tem uma profundidade na contagem."
Perspective scale break,Continuidade do contexto,"Assim tipo quando eu jogo meu olho aqui, eu sinto que teve um cuidado a mais de colocar a escala correta, de ter essa quebra ali no meio. Normalmente esses valores que estão ali no meio, provavelmente não vão ter muita atenção por parte de quem tá vendendo aquele produto. Então eu sei que eu posso ignorar um pouco eles sem também colocar um espaço em branco. Vejo talvez com mais desejo o quebra de escala com perspectiva."
Perspective scale break,Continuidade do contexto,"Apesar da escala, com perspectiva de ter uma quebra. Ele mantém uma escala que eu consigo visualizar bem melhor comparando um a parte de cima com a de baixo."
Perspective scale break,Continuidade do contexto,"já a quebra de escala com perspectiva eu já usaria porque mostra muito claramente que tem ali realmente uma quebra,"
Perspective scale break,Continuidade do contexto,dá para ver um pouco mais a escala e os dados ali dentro da perspectiva.
Perspective scale break,Continuidade do contexto,"Só que eu acho que quebra de escala na perspectiva, a gente ainda tem uma visão periférica do valor dando continuidade,"
Default sacle break,Continuidade do contexto,"Só que eu acho que quebra de escala na perspectiva, a gente ainda tem uma visão periférica do valor dando continuidade,"
Default,Continuidade do contexto," apesar da escala, com perspectiva de ter uma quebra. Ele mantém uma escala que eu consigo visualizar bem melhor comparando um a parte de cima com a de baixo."
Perspective scale break,Default,"Então em reuniões eu usaria ou quebra de escala com perspectiva ou padrão. Por quê? Porque eles mantêm uma escala contínua, apesar da escala, com perspectiva de ter uma quebra. Ele mantém uma escala que eu consigo visualizar bem melhor comparando um a parte de cima com a de baixo."
Perspective scale break,Default sacle break,Quebra de escala com perspectiva é mais fácil que o anterior quebra de escala padrão.
Perspective scale break,Default sacle break," Para analisar, o quebra de escala com perspectiva, e o segundo é o de quebra de escala padrão, porque quando tinha um valor que era muito grande, não dava pra diferenciar os menores valores,apenas a quebra de escala ajudava encontrar determinados números que ficavam confusos.  Então, primeiro o quebra de escala com perspectiva, e depois o quebra de escala."
Perspective scale break,Default sacle break,"Eu acho que foi o com quebra de escala com perspectiva, quando a pergunta era sobre encontrar a segunda maior o quebra de escala padrão e quebra de escala com perspectiva foram os que foram mais fáceis. Só que eu acho que quebra de escala na perspectiva, a gente ainda tem uma visão periférica do valor dando continuidade, enquanto na outra a gente perde aqui no meio e fica confuso um pouco."
Perspective scale break,Dificil de aprender,Com a perspectiva é mais dificil de aprender.
Default sacle break,Dificil de aprender,O quebra de escala padrão é mais difícil.
Perspective scale break,Facilidade na Interpretação,O quebra de escala com perspectiva é o mais tranquilo de entender e compreender.
Perspective scale break,Facilidade na Interpretação,O quebra de escala com perspectiva é mais fácil de entender
Perspective scale break,Facilidade na Interpretação,Quebra de escala com perspectiva é mais fácil que o anterior
Perspective scale break,Facilidade na Interpretação,prefiro aqueles em que eu consigo saber que o usuário vai bater o olho e já saber do que se trata comparando uma barra com outra.
Perspective scale break,Facilidade na Interpretação,Perspectiva com certeza.
Perspective scale break,Facilidade na Interpretação,O quebra de escala com perspectiva é mais intuitivo para entender.
Perspective scale break,Facilidade na Interpretação,"Para você entender os dados, o quebra de escala com perspectiva."
Perspective scale break,Facilidade na Interpretação,quebra de escala com perspectiva por ser mais fácil de entender
Perspective scale break,Facilidade na Interpretação,"Para analisar, o quebra de escala com perspectiva, e o segundo é o de quebra de escala padrão,"
Default sacle break,Facilidade na Interpretação,Esteticamente falando. Eu prefiro de escala sem perspectiva. Entendi esse
Default sacle break,Facilidade na Interpretação,Quebra de escala com perspectiva é mais fácil que o anterior
Default sacle break,Facilidade na Interpretação,"Para analisar, o quebra de escala com perspectiva, e o segundo é o de quebra de escala padrão,"
logarithmic,Facilidade na Interpretação,Logarítmico porque ele vai te desenhar todo o gráfico e te mostrar onde determinados valores estão.
logarithmic,Facilidade na Interpretação,Escala logarítmica acho mais fácil de compreender.
Default,Facilidade na Interpretação,Por ser fácil de entender
Default,Facilidade na Interpretação,"Padrão, pois é mais fácil de passar uma informação através dele."
Default,Facilidade na Interpretação,"Padrão, ele é muito mais fácil de visualizar, a gente consegue muito mais facil, ele é muito mais fácil da gente se localizar."
Default,Facilidade na Interpretação," é mais fácil de entender, de identificar."
Default,Facilidade na Interpretação,"pois dá para fazer rápido, assim, de bate-pronto as perguntas"
Default,Familiaridade,"Padrão, com certeza pela familiaridade."
Default,Familiaridade,"popularidade é mais simples né, o pessoal, tá mais acostumado."
Default,Familiaridade,O padrão por conta da familiaridade que as pessoas vão ter 
Default,Familiaridade,Eu estou acostumado também ele é mais familiar 
Default,Familiaridade, uma vez que ele é familiar e estou mais acostumado
Default,Familiaridade,"O padrão,"
Perspective scale break,Preferencia visual para pergunta,"Se tivesse muito outlier ali, que precisasse mostrar. No caso, se eu tivesse muito valores aqui em baixo, por exemplo, duas altas, se eu não tivesse essa quebra, acho que esses valores menores iriam ficar muito achatados."
Perspective scale break,Preferencia visual para pergunta,"porque quando tinha um valor que era muito grande, não dava pra diferenciar os menores valores,apenas a quebra de escala ajudava encontrar determinados números que ficavam confusos.  Então, primeiro o quebra de escala com perspectiva, e depois o quebra de escala."
Perspective scale break,Preferencia visual para pergunta,"Se ele for muito grande ou muito pequeno, talvez o de quebra de escala com perspectiva me ajudasse mais."
Perspective scale break,Preferencia visual para pergunta,quando a pergunta era sobre encontrar a segunda maior o quebra de escala padrão e quebra de escala com perspectiva foram os que foram mais fáceis.
Perspective scale break,Preferencia visual para pergunta,principalmente quando tinha perguntando qual era a segunda menor e a segunda maior
Default sacle break,Preferencia visual para pergunta,"porque quando tinha um valor que era muito grande, não dava pra diferenciar os menores valores,apenas a quebra de escala ajudava encontrar determinados números que ficavam confusos.  Então, primeiro o quebra de escala com perspectiva, e depois o quebra de escala."
Default sacle break,Preferencia visual para pergunta,quando a pergunta era sobre encontrar a segunda maior o quebra de escala padrão e quebra de escala com perspectiva foram os que foram mais fáceis.
Perspective scale break,Visual interessante,no Escala com Perspectiva fica muito melhor em ter essa visualização nesse sentimento do que no outro. 
Perspective scale break,Visual interessante,"O quebra de escala com perspectiva é bem mais atrativo, ele tem alguns elementos visuais dessa perspectiva, que chamam mais atenção."
Perspective scale break,Visual interessante,"E aí, obviamente, é uma ideia muito interessante. Ainda não tinha visto essa quebra"
Perspective scale break,Visual interessante,"Olha dos exemplos mostrados quando tinha essa quebra com perspectiva, achava bem interessante"
Default,Visual simples,Padrão. Pela simplicidade
Default,Visual simples,"Padrão, Ele é mais clean. "